contrato;odi;uf;municipio
ECO 015/2019;CM1976434LPT13000;MA;SAO MATEUS DO MARANHAO
ECO 015/2019;CM1976434LPT13000;MA;SAO MATEUS DO MARANHAO
ECO 015/2019;CM1976434LPT13000;MA;SAO MATEUS DO MARANHAO
ECO 015/2019;CM1976434LPT13000;MA;FERNANDO FALCAO
ECO 015/2019;CM1976434LPT13001;MA;FERNANDO FALCAO
ECO 015/2019;CM1976434LPT13001;MA;SAO MATEUS DO MARANHAO
ECO 015/2019;CM1976434LPT13001;MA;SAO MATEUS DO MARANHAO
ECO 015/2019;CM1976434LPT13001;MA;LAGO DO JUNCO
ECO 015/2019;CM1976434LPT13001;MA;FERNANDO FALCAO
ECO 015/2019;CM1976434LPT13001;MA;VARGEM GRANDE
ECO 015/2019;CM1976434LPT13001;MA;GOVERNADOR EUGENIO BARROS
ECO 015/2019;CM1976434LPT13001;MA;GOVERNADOR EUGENIO BARROS
ECO 015/2019;CM1976434LPT13001;MA;GOVERNADOR EUGENIO BARROS
ECO 015/2019;CM1976434LPT13002;MA;GOVERNADOR EUGENIO BARROS
ECO 015/2019;CM1976434LPT13002;MA;SAO MATEUS DO MARANHAO
ECO 015/2019;CM1976434LPT13002;MA;SAO DOMINGOS DO MARANHAO
ECO 015/2019;CM1976434LPT13002;MA;PRESIDENTE DUTRA
ECO 015/2019;CM1976434LPT13002;MA;SAO JOSE DOS BASILIOS
ECO 015/2019;CM1976434LPT13002;MA;FERNANDO FALCAO
ECO 015/2019;CM1976434LPT13002;MA;FERNANDO FALCAO
ECO 015/2019;CM1976434LPT13002;MA;FERNANDO FALCAO
ECO 015/2019;CM1976434LPT13002;MA;FERNANDO FALCAO
ECO 015/2019;CM1976434LPT13002;MA;SANTA LUZIA
ECO 015/2019;CM1976434LPT13003;MA;JOSELANDIA
ECO 015/2019;CM1976434LPT13003;MA;SAO DOMINGOS DO MARANHAO
ECO 015/2019;CM1976434LPT13003;MA;ZE DOCA
ECO 015/2019;CM1976434LPT13003;MA;SAO MATEUS DO MARANHAO
ECO 015/2019;CM1976434LPT13003;MA;DOM PEDRO
ECO 015/2019;CM1976434LPT13003;MA;VITORIA DO MEARIM
ECO 015/2019;CM1976434LPT13004;MA;VITORIA DO MEARIM
ECO 015/2019;CM1976434LPT13004;MA;ARARI
ECO 015/2019;CM1976434LPT13004;MA;ARARI
ECO 015/2019;CM1976434LPT13004;MA;ARARI
ECO 015/2019;CM1976434LPT13004;MA;IGARAPE DO MEIO
ECO 015/2019;CM1976434LPT13004;MA;IGARAPE DO MEIO
ECO 015/2019;CM1976434LPT13004;MA;ARARI
ECO 015/2019;CM1976434LPT13004;MA;IGARAPE DO MEIO
ECO 015/2019;CM1976434LPT13004;MA;PINDARE MIRIM
ECO 015/2019;CM1976434LPT13005;MA;VARGEM GRANDE
ECO 015/2019;CM1976434LPT13005;MA;PINDARE MIRIM
ECO 015/2019;CM1976434LPT13005;MA;VARGEM GRANDE
ECO 015/2019;CM1976434LPT13005;MA;VARGEM GRANDE
ECO 015/2019;CM1976434LPT13005;MA;PRESIDENTE DUTRA
ECO 015/2019;CM1976434LPT13005;MA;SAO MATEUS DO MARANHAO
ECO 015/2019;CM1976434LPT13005;MA;CONCEICAO DO LAGO-ACU
ECO 015/2019;CM1976434LPT13005;MA;SAO DOMINGOS DO MARANHAO
ECO 015/2019;CM1976434LPT14000;MA;BALSAS
ECO 015/2019;CM1976434LPT14000;MA;FEIRA NOVA DO MARANHAO
ECO 015/2019;CM1976434LPT14000;MA;BOM JESUS DAS SELVAS
ECO 015/2019;CM1976434LPT14000;MA;SENADOR LA ROCQUE
ECO 015/2019;CM1976434LPT14000;MA;BALSAS
ECO 015/2019;CM1976434LPT14001;MA;BALSAS
ECO 015/2019;CM1976434LPT14001;MA;SENADOR LA ROCQUE
ECO 015/2019;CM1976434LPT14001;MA;AMARANTE DO MARANHAO
ECO 015/2019;CM1976434LPT14001;MA;FEIRA NOVA DO MARANHAO
ECO 015/2019;CM1976434LPT14001;MA;BALSAS
ECO 015/2019;CM1976434LPT14002;MA;BOM JESUS DAS SELVAS
ECO 015/2019;CM1976434LPT14002;MA;RIACHAO
ECO 015/2019;CM1976434LPT14002;MA;BALSAS
ECO 015/2019;CM1976434LPT14002;MA;LORETO
ECO 015/2019;CM1976434LPT14002;MA;GRAJAU
ECO 015/2019;CM1976434LPT14002;MA;BURITIRAMA
ECO 015/2019;CM1976434LPT14003;MA;PORTO FRANCO
ECO 015/2019;CM1976434LPT14003;MA;LORETO
ECO 015/2019;CM1976434LPT14003;MA;RIBAMAR FIQUENE
ECO 015/2019;CM1976434LPT14003;MA;GRAJAU
ECO 015/2019;CM1976434LPT14003;MA;SAO FELIX DE BALSAS
ECO 015/2019;CM1976434LPT14003;MA;BALSAS
ECO 015/2019;CM1976434LPT14003;MA;LAJEADO NOVO
ECO 015/2019;CM1976434LPT14003;MA;LORETO
ECO 015/2019;CM1976434LPT14003;MA;BALSAS
ECO 015/2019;CM1976434LPT14003;MA;RIACHAO
ECO 015/2019;CM1976434LPT14004;MA;PORTO FRANCO
ECO 015/2019;CM1976434LPT14004;MA;RIACHAO
ECO 015/2019;CM1976434LPT14004;MA;SAMBAIBA
ECO 015/2019;CM1976434LPT14004;MA;LORETO
ECO 015/2019;CM1976434LPT14004;MA;CAMPESTRE DO MARANHAO
ECO 015/2019;CM1976434LPT14004;MA;RIACHAO
ECO 015/2019;CM1976434LPT15000;MA;PALMEIRANDIA
ECO 015/2019;CM1976434LPT15000;MA;PALMEIRANDIA
ECO 015/2019;CM1976434LPT15000;MA;PALMEIRANDIA
ECO 015/2019;CM1976434LPT15000;MA;PALMEIRANDIA
ECO 015/2019;CM1976434LPT15001;MA;PALMEIRANDIA
ECO 015/2019;CM1976434LPT15001;MA;SAO JOAO BATISTA
ECO 015/2019;CM1976434LPT15001;MA;PALMEIRANDIA
ECO 015/2019;CM1976434LPT15001;MA;PALMEIRANDIA
ECO 015/2019;CM1976434LPT15001;MA;PALMEIRANDIA
ECO 015/2019;CM1976434LPT15001;MA;PALMEIRANDIA
ECO 015/2019;CM1976434LPT15002;MA;PALMEIRANDIA
ECO 015/2019;CM1976434LPT15002;MA;PALMEIRANDIA
ECO 015/2019;CM1976434LPT15002;MA;PALMEIRANDIA
ECO 015/2019;CM1976434LPT15002;MA;SAO VICENTE FERRER
ECO 015/2019;CM1976434LPT15003;MA;PALMEIRANDIA
ECO 015/2019;CM1976434LPT15003;MA;SAO JOAO BATISTA
ECO 015/2019;CM1976434LPT15003;MA;PALMEIRANDIA
ECO 015/2019;CM1976434LPT15003;MA;PEDRO DO ROSARIO
ECO 015/2019;CM1976434LPT15003;MA;PINHEIRO
ECO 015/2019;CM1976434LPT15003;MA;SAO JOAO BATISTA
ECO 015/2019;CM1976434LPT15003;MA;PINHEIRO
ECO 015/2019;CM2076412LPT12000;MA;URBANO SANTOS
ECO 015/2019;CM2076412LPT12000;MA;TIMON
ECO 015/2019;CM2076412LPT12000;MA;URBANO SANTOS
ECO 015/2019;CM2076412LPT12000;MA;CODO
ECO 015/2019;CM2076412LPT12000;MA;CODO
ECO 015/2019;CM2076412LPT12000;MA;CODO
ECO 015/2019;CM2076412LPT12000;MA;CODO
ECO 015/2019;CM2076412LPT12000;MA;CODO
ECO 015/2019;CM2076412LPT12001;MA;SAO FRANCISCO DO MARANHAO
ECO 015/2019;CM2076412LPT12001;MA;TIMON
ECO 015/2019;CM2076412LPT12001;MA;CAXIAS
ECO 015/2019;CM2076412LPT12001;MA;MATOES
ECO 015/2019;CM2076412LPT12001;MA;TIMON
ECO 015/2019;CM2076412LPT12001;MA;CODO
ECO 015/2019;CM2076412LPT12001;MA;CODO
ECO 015/2019;CM2076412LPT12001;MA;CODO
ECO 015/2019;CM2076412LPT12001;MA;URBANO SANTOS
ECO 015/2019;CM2076412LPT12002;MA;URBANO SANTOS
ECO 015/2019;CM2076412LPT12002;MA;ANAPURUS
ECO 015/2019;CM2076412LPT12002;MA;SAO FRANCISCO DO MARANHAO
ECO 015/2019;CM2076412LPT12002;MA;CHAPADINHA
ECO 015/2019;CM2076412LPT12002;MA;MIRADOR
ECO 015/2019;CM2076412LPT12002;MA;TIMON
ECO 015/2019;CM2076412LPT12002;MA;TIMON
ECO 015/2019;CM2076412LPT13000;MA;GOVERNADOR NEWTON BELLO
ECO 015/2019;CM2076412LPT13000;MA;SAO DOMINGOS DO MARANHAO
ECO 015/2019;CM2076412LPT13000;MA;GOVERNADOR NEWTON BELLO
ECO 015/2019;CM2076412LPT13000;MA;SAO DOMINGOS DO MARANHAO
ECO 015/2019;CM2076412LPT13000;MA;SAO DOMINGOS DO MARANHAO
ECO 015/2019;CM2076412LPT13000;MA;ZE DOCA
ECO 015/2019;CM2076412LPT13001;MA;VARGEM GRANDE
ECO 015/2019;CM2076412LPT13001;MA;ITAPECURU MIRIM
ECO 015/2019;CM2076412LPT13002;MA;VARGEM GRANDE
ECO 015/2019;CM2076412LPT13002;MA;POCAO DE PEDRAS
ECO 015/2019;CM2076412LPT13002;MA;POCAO DE PEDRAS
ECO 015/2019;CM2076412LPT13002;MA;VARGEM GRANDE
ECO 015/2019;CM2076412LPT14000;MA;RIACHAO
ECO 015/2019;CM2076412LPT14000;MA;LAJEADO NOVO
ECO 015/2019;CM2076412LPT14000;MA;BALSAS
